"","AGI","probe_id","adj.P.Val","P.Value","t","B","logFC","Gene.symbol","Gene.title","GO","PATH","oma_id","level","level_name","araID","age"
"1","AT1G01010","261585_at",4.16e-05,4.67e-07,13.0598067,7.0307394,2.33993,"NAC001","NAC domain-containing protein 1","GO:0006355; GO:0005634; GO:0003700",NA,15163967,13,"Brassicaceae","ARATH00001","MC"
"2","AT1G01060","261569_at",0.0312,0.00781,3.4270014,-3.262867,0.8930425,"LHY","protein LHY","GO:0006355; GO:0007623; GO:0009409; GO:0042752; GO:0042754; GO:0043433; GO:0048574; GO:0005634; GO:0003700; GO:0005515","04712",15163979,9,"Mesangiospermae","ARATH00013","MC"
"3","AT1G01070","261576_at",0.000311,1.34e-05,-8.6766767,3.5090393,-1.8958175,"AT1G01070","nodulin MtN21-like transporter family protein","GO:0048316; GO:0005739; GO:0005886; GO:0015186",NA,15163981,9,"Mesangiospermae","ARATH00015","MC"
"4","AT1G01080","261577_at",0.0046,0.000629,-5.1739622,-0.605426,-0.5710275,"AT1G01080","RNA-binding (RRM/RBD/RNP motifs) family protein","GO:0008150; GO:0005634; GO:0009507; GO:0009536; GO:0009570; GO:0009941; GO:0003729",NA,15163984,8,"Magnoliopsida","ARATH00018","MC"
"5","AT1G01100","261578_at",0.0032,0.000384,5.5576187,-0.0774851,0.705375,"AT1G01100","60S acidic ribosomal protein P1-1","GO:0002181; GO:0006414; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0005886; GO:0022625; GO:0022626; GO:0003735; GO:0030295; GO:0043021",NA,15163987,2,"Eukaryota","ARATH00021","UC"
"6","AT1G01140","261581_at",4.29e-05,4.99e-07,-12.9557654,6.9615187,-2.976845,"CIPK9","CBL-interacting serine/threonine-protein kinase 9","GO:0006468; GO:0007165; GO:0009409; GO:0009611; GO:0009651; GO:0010555; GO:0043266; GO:0051365; GO:0055075; GO:0005737; GO:0005515",NA,15163995,2,"Eukaryota","ARATH00029","UC"
"7","AT1G01190","261574_at",0.00686,0.00107,-4.7784201,-1.1717466,-0.7364175,"CYP78A8","cytochrome P450, family 78, subfamily A, polypeptide 8","GO:0008150; GO:0005575; GO:0003674","00903; 00945; 01100; 01110",15164003,8,"Magnoliopsida","ARATH00037","MC"
"8","AT1G01225","261025_at",0.0128,0.00245,4.1942189,-2.0482408,0.664965,"AT1G01225","NC domain-containing protein-like protein","GO:0005634",NA,15164011,7,"Spermatophyta","ARATH00045","MC"
"9","AT1G01240","261026_at",0.000895,6.35e-05,-7.103935,1.8463251,-0.8549875,"AT1G01240","hypothetical protein","GO:0005739",NA,15164013,9,"Mesangiospermae","ARATH00047","MC"
"10","AT1G01300","261055_at",0.000157,4.67e-06,9.8891135,4.6255406,2.10025,"AT1G01300","aspartyl protease family protein","GO:0006508; GO:0030163; GO:0080167; GO:0005576; GO:0009505; GO:0004190",NA,15164018,5,"Embryophyta","ARATH00052","MC"
"11","AT1G01320","261053_at",0.000104,2.23e-06,-10.8233221,5.4039574,-1.9370725,"AT1G01320","tetratricopeptide repeat-containing protein","GO:0005576; GO:0005634; GO:0005829",NA,15164023,9,"Mesangiospermae","ARATH00057","MC"
"12","AT1G01370","261058_at",0.00217,0.000225,5.9895326,0.4920138,0.5619175,"HTR12","Histone H3-like centromeric protein HTR12","GO:0009567; GO:0034508; GO:0051301; GO:0051307; GO:0051321; GO:0000775; GO:0000785; GO:0005634; GO:0005515; GO:0046982",NA,15164032,10,"Pentapetalae","ARATH00066","MC"
"13","AT1G01420","261048_at",0.015,0.00303,-4.0506001,-2.2706276,-0.4394275,"UGT72B3","UDP-glucosyltransferase 72B3","GO:0005783; GO:0009507; GO:0043231; GO:0008194; GO:0016757; GO:0080043",NA,15164040,8,"Magnoliopsida","ARATH00074","MC"
"14","AT1G01430","261049_at",0.00978,0.00172,-4.4382848,-1.6764152,-0.64598,"TBL25","protein trichome birefringence-like 25","GO:0005794; GO:0016413",NA,15164042,5,"Embryophyta","ARATH00076","MC"
"15","AT1G01480","259439_at",0.00139,0.000119,6.5309684,1.1700145,1.4148875,"ACS2","1-aminocyclopropane-1-carboxylate synthase 2","GO:0009693; GO:0042218; GO:0005737; GO:0005515; GO:0016847; GO:0030170","00270; 01100; 01110",15164049,2,"Eukaryota","ARATH00083","UC"
"16","AT1G01560","259428_at",0.033,0.00839,3.3809432,-3.3375531,0.441265,"MPK11","mitogen-activated protein kinase 11","GO:0007165; GO:0009737; GO:0010468; GO:0035556; GO:0005634; GO:0005737; GO:0005829; GO:0005886; GO:0004707; GO:0005515","04650",15164065,2,"Eukaryota","ARATH00099","UC"
"17","AT1G01620","259431_at",7.15e-06,2.07e-08,18.8362281,10.1471669,2.55018,"PIP1C","aquaporin PIP1-3","GO:0006833; GO:0009414; GO:0009651; GO:0055085; GO:0005576; GO:0005773; GO:0005886; GO:0009506; GO:0005515; GO:0015250",NA,15164074,2,"Eukaryota","ARATH00108","UC"
"18","AT1G01730","261561_at",0.00824,0.00138,4.5959497,-1.4404839,0.9479975,"AT1G01730","hypothetical protein","GO:0008150; GO:0005634; GO:0003674",NA,15164098,9,"Mesangiospermae","ARATH00132","MC"
"19","AT1G01790","261536_at",0.00525,0.000752,-5.0397389,-0.7950954,-0.678735,"KEA1","K efflux antiporter KEA1","GO:0009658; GO:0010109; GO:0005576; GO:0009507; GO:0009941; GO:0016020; GO:0031969; GO:0015079; GO:0015386",NA,15164109,5,"Embryophyta","ARATH00143","MC"
"20","AT1G01800","261537_at",0.0012,9.8e-05,6.7066308,1.3817326,0.54376,"AT1G01800","Rossmann-fold NAD(P)-binding domain-containing protein","GO:0055114; GO:0005737; GO:0005829; GO:0009505; GO:0009507; GO:0016020",NA,15164110,2,"Eukaryota","ARATH00144","UC"
"21","AT1G01830","261538_at",0.0232,0.00531,-3.6763724,-2.861435,-0.46508,"AT1G01830","armadillo/beta-catenin-like repeat-containing protein","GO:0008150; GO:0005575; GO:0003674",NA,15164114,5,"Embryophyta","ARATH00148","MC"
"22","AT1G01900","261653_at",0.000625,3.81e-05,7.5924474,2.3916949,1.7301225,"SBTI1.1","subtilisin-like serine protease SBT1.1","GO:0006508; GO:0005576; GO:0005618; GO:0031012; GO:0048046; GO:0004252",NA,15164124,1,"LUCA","ARATH00158","UC"
"23","AT1G01970","261622_at",0.011,0.00202,-4.3263994,-1.8458911,-0.40775,"AT1G01970","pentatricopeptide repeat-containing protein","GO:0008150; GO:0005739; GO:0003674",NA,15164140,5,"Embryophyta","ARATH00174","MC"
"24","AT1G02070","264151_at",0.000552,3.19e-05,-7.7683191,2.5813813,-1.3150275,"AT1G02070","hypothetical protein","GO:0005575",NA,15164160,8,"Magnoliopsida","ARATH00194","MC"
"25","AT1G02080","264168_at",0.0236,0.00544,3.66052,-2.8867891,0.3536025,"AT1G02080","CCR4-NOT transcription complex subunit 1 domain protein","GO:0005576; GO:0005829; GO:0005515","03018",15164162,2,"Eukaryota","ARATH00196","UC"
"26","AT1G02110","264176_at",0.000609,3.67e-05,7.6298968,2.4323739,1.6146325,"AT1G02110","hypothetical protein","GO:0006499; GO:0005634; GO:0005886; GO:0003674",NA,15164169,8,"Magnoliopsida","ARATH00203","MC"
"27","AT1G02150","264177_at",0.0142,0.00281,-4.1007157,-2.1927342,-0.9848225,"AT1G02150","pentatricopeptide repeat-containing protein","GO:0005739; GO:0009507; GO:0003729",NA,15164179,6,"Tracheophyta","ARATH00213","MC"
"28","AT1G02205","264147_at",0.0391,0.0104,-3.2436953,-3.5609066,-0.4886625,"CER1","protein ECERIFERUM 1","GO:0009414; GO:0010025; GO:0042335; GO:0042742; GO:0043447; GO:0046185; GO:0050832; GO:0005739; GO:0016020; GO:0016491; GO:0071771",NA,15164188,5,"Embryophyta","ARATH00222","MC"
"29","AT1G02220","264148_at",0.00244,0.000264,5.8591696,0.322857,1.29874,"NAC003","NAC domain-containing protein 3","GO:0006355; GO:0005634; GO:0005886; GO:0003700; GO:0005515",NA,15164192,13,"Brassicaceae","ARATH00226","MC"
"30","AT1G02260","264170_at",0.00079,5.32e-05,-7.2714124,2.0364286,-0.7858125,"AT1G02260","divalent ion symporter","GO:0055085; GO:0016021",NA,15164195,2,"Eukaryota","ARATH00229","UC"
"31","AT1G02270","264123_at",0.00112,8.81e-05,-6.8029476,1.496157,-0.9044075,"AT1G02270","calcium-binding endonuclease/exonuclease/phosphatase family protein","GO:0009409; GO:0005634; GO:0009507; GO:0000175; GO:0005509",NA,15164196,2,"Eukaryota","ARATH00230","UC"
"32","AT1G02300","259441_at",0.000128,3.23e-06,-10.3465421,5.0148965,-2.4552575,"AT1G02300","putative cathepsin B-like cysteine protease","GO:0006508; GO:0051603; GO:0005576; GO:0005615; GO:0005764; GO:0004197",NA,15164200,2,"Eukaryota","ARATH00234","UC"
"33","AT1G02305","259416_at",0.00406,0.00053,-5.3059153,-0.4214791,-0.743625,"AT1G02305","putative cathepsin B-like cysteine protease","GO:0006508; GO:0050790; GO:0051603; GO:0005576; GO:0005615; GO:0005764; GO:0005773; GO:0004197",NA,15164201,2,"Eukaryota","ARATH00235","UC"
"34","AT1G02330","259415_at",0.000638,3.95e-05,7.5587039,2.3549065,0.7851275,"AT1G02330","hypothetical protein","GO:0010099; GO:0048024; GO:0055121; GO:0080022; GO:1904667; GO:0005634; GO:0005681; GO:0016607; GO:0003674; GO:0005515",NA,15164205,2,"Eukaryota","ARATH00239","UC"
